tree_type,policy_name,storage_type,config_name,cache_size,cache_page_limit,thread_count,timestamp,key_type,value_type,record_count,degree,operation,time_us,throughput_ops_sec,test_run_id,cache_hits,cache_misses,cache_evictions,cache_dirty_evictions,cache_hit_rate,perf_cache_misses,perf_cache_references,perf_cycles,perf_instructions,perf_branch_misses,perf_page_faults,perf_l1_dcache_misses,perf_l1_dcache_loads,perf_llc_misses,perf_llc_loads
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:19,uint64_t,uint64_t,100000,24,ycsb_a,22283,4487629.80,10,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:36:54,uint64_t,uint64_t,100000,24,ycsb_a,21249,4706062.40,1,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:36:56,uint64_t,uint64_t,100000,24,ycsb_a,21101,4738986.57,2,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:36:58,uint64_t,uint64_t,100000,24,ycsb_a,21189,4719303.39,3,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:37:00,uint64_t,uint64_t,100000,24,ycsb_a,20999,4762037.65,4,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:37:02,uint64_t,uint64_t,100000,24,ycsb_a,21360,4681536.38,5,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:37:04,uint64_t,uint64_t,100000,24,ycsb_a,21428,4666672.64,6,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:37:06,uint64_t,uint64_t,100000,24,ycsb_a,21173,4722937.83,7,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:37:08,uint64_t,uint64_t,100000,24,ycsb_a,21006,4760451.01,8,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:37:10,uint64_t,uint64_t,100000,24,ycsb_a,21036,4753754.79,9,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.2500,1249,1,2025-10-10 00:37:12,uint64_t,uint64_t,100000,24,ycsb_a,21020,4757187.90,10,0,0,0,0,0.00,1239996,3986524,912178977,1446840474,6763935,34118,15202834,372269995,377322,866735
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.0200,99,1,2025-10-10 00:31:12,uint64_t,uint64_t,100000,24,ycsb_a,35824,2791355.86,1,0,0,0,0,0.00,1452607,6443167,1290310560,2217287124,8426525,46191,29942422,589505109,326249,3471080
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.0200,99,1,2025-10-10 00:31:14,uint64_t,uint64_t,100000,24,ycsb_a,35715,2799923.93,2,0,0,0,0,0.00,1452607,6443167,1290310560,2217287124,8426525,46191,29942422,589505109,326249,3471080
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.0200,99,1,2025-10-10 00:31:16,uint64_t,uint64_t,100000,24,ycsb_a,36044,2774332.52,3,0,0,0,0,0.00,1452607,6443167,1290310560,2217287124,8426525,46191,29942422,589505109,326249,3471080
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.0200,99,1,2025-10-10 00:31:18,uint64_t,uint64_t,100000,24,ycsb_a,35566,2811607.90,4,0,0,0,0,0.00,1452607,6443167,1290310560,2217287124,8426525,46191,29942422,589505109,326249,3471080
